CMA ID,CMA NAME,YEAR,QUARTER,HOUSING TYPE,MEDIAN HOUSING PRICE,MEDIAN AFTER TAX ANNUAL FAMILY INCOME,PRIME INTEREST RATE,MORTGAGE PAYMENT PERCENT INCOME,HISTORIC PAYMENT PERCENT INCOME,NUMBER OF RESALES
932,Abbotsford - Mission,2000,1,All housing types,180000,40110,6.673076923,35.17394885,39.8580484,211
932,Abbotsford - Mission,2000,1,Condos,85000,40110,6.673076923,16.60992029,20.09532322,25
932,Abbotsford - Mission,2000,1,Single-detached,198000,40110,6.673076923,38.69134374,49.93104757,151
932,Abbotsford - Mission,2000,1,Townhouses,159839,40110,6.673076923,31.23427117,32.71122748,35
944,Campbell River,2000,1,All housing types,136000,44950,6.673076923,23.71431023,28.83969156,61
944,Campbell River,2000,1,Condos,88250,44950,6.673076923,15.38814616,18.33500271,10
944,Campbell River,2000,1,Single-detached,143326.5,44950,6.673076923,24.9918315,31.14048371,46
930,Chilliwack,2000,1,All housing types,139619.5,38830,6.673076923,28.18252964,35.74923238,105
930,Chilliwack,2000,1,Single-detached,145741,38830,6.673076923,29.41816904,42.84775906,83
930,Chilliwack,2000,1,Townhouses,119650,38830,6.673076923,24.15163836,29.51804433,17
943,Courtenay,2000,1,All housing types,136250,39580,6.673076923,26.98124625,33.29529423,77
943,Courtenay,2000,1,Single-detached,143500,39580,6.673076923,28.41694559,37.46374731,60
943,Courtenay,2000,1,Townhouses,96500,39580,6.673076923,19.10965331,25.7004721,12
905,Cranbrook,2000,1,All housing types,125200,42240,6.673076923,23.23173815,23.32692088,30
905,Cranbrook,2000,1,Single-detached,125400,42240,6.673076923,23.26884955,24.79879355,27
975,Dawson Creek,2000,1,All housing types,91500,42710,6.673076923,16.79162811,17.42873376,15
975,Dawson Creek,2000,1,Single-detached,91500,42710,6.673076923,16.79162811,17.4035768,14
937,Duncan,2000,1,All housing types,160000,39000,6.673076923,32.15560316,33.65613231,54
937,Duncan,2000,1,Single-detached,162500,39000,6.673076923,32.65803446,37.87860121,41
977,Fort St. John,2000,1,All housing types,131998.5,48790,6.673076923,21.20505789,19.8313746,25
977,Fort St. John,2000,1,Single-detached,134498.5,48790,6.673076923,21.6066734,21.34312718,18
925,Kamloops,2000,1,All housing types,143000,43280,6.673076923,25.89703656,29.18144185,131
925,Kamloops,2000,1,Condos,108427,43280,6.673076923,19.63592996,18.56500138,12
925,Kamloops,2000,1,Single-detached,145000,43280,6.673076923,26.25923288,32.08712104,101
925,Kamloops,2000,1,Townhouses,142500,43280,6.673076923,25.80648749,25.397242,18
915,Kelowna,2000,1,All housing types,156500,40030,6.673076923,30.64291217,38.09482147,273
915,Kelowna,2000,1,Condos,108200,40030,6.673076923,21.18570669,24.28880262,38
915,Kelowna,2000,1,Single-detached,165500,40030,6.673076923,32.40512437,44.76537722,200
915,Kelowna,2000,1,Townhouses,125000,40030,6.673076923,24.47516946,32.85366574,35
938,Nanaimo,2000,1,All housing types,145000,39590,6.673076923,28.706734,33.9915153,118
938,Nanaimo,2000,1,Single-detached,150268,39590,6.673076923,29.74967934,37.66249954,103
938,Nanaimo,2000,1,Townhouses,101360,39590,6.673076923,20.06699695,27.46191196,10
913,Penticton,2000,1,All housing types,127398.5,36100,6.673076923,27.66039625,34.46883108,61
913,Penticton,2000,1,Condos,78000,36100,6.673076923,16.93513587,24.64960116,11
913,Penticton,2000,1,Single-detached,145000,36100,6.673076923,31.48198335,41.62561139,34
913,Penticton,2000,1,Townhouses,106750,36100,6.673076923,23.17725326,28.09446494,16
940,Port Alberni,2000,1,All housing types,102797.5,41290,6.673076923,19.51366993,24.91984493,36
940,Port Alberni,2000,1,Single-detached,106747.5,41290,6.673076923,20.26348384,25.47459468,30
945,Powell River,2000,1,All housing types,130000,42000,6.673076923,24.26025417,28.39881449,26
945,Powell River,2000,1,Single-detached,130000,42000,6.673076923,24.26025417,29.06419653,26
970,Prince George,2000,1,All housing types,125950,46370,6.673076923,21.28934797,20.86631918,75
970,Prince George,2000,1,Single-detached,126900,46370,6.673076923,21.44992662,21.62037066,70
955,Prince Rupert,2000,1,All housing types,112000,45700,6.673076923,19.20892705,20.96060583,12
955,Prince Rupert,2000,1,Single-detached,112000,45700,6.673076923,19.20892705,21.3614414,11
952,Quesnel,2000,1,All housing types,101750,41690,6.673076923,19.12950831,19.12777887,12
952,Quesnel,2000,1,Single-detached,101750,41690,6.673076923,19.12950831,19.38116486,12
965,Terrace,2000,1,All housing types,153000,45450,6.673076923,26.38510506,22.28508389,25
965,Terrace,2000,1,Single-detached,153000,45450,6.673076923,26.38510506,22.91057037,23
933,Vancouver,2000,1,All housing types,239500,42730,6.673076923,43.93128529,46.34979114,3944
933,Vancouver,2000,1,Condos,159839,42730,6.673076923,29.31913449,33.52101857,1245
933,Vancouver,2000,1,Single-detached,288500,42730,6.673076923,52.91931443,73.63157159,2146
933,Vancouver,2000,1,Townhouses,205781,42730,6.673076923,37.74623724,42.89966917,553
918,Vernon,2000,1,All housing types,136750,38900,6.673076923,27.55364244,33.47993893,74
918,Vernon,2000,1,Condos,86900,38900,6.673076923,17.50940788,17.73657873,12
918,Vernon,2000,1,Single-detached,155000,38900,6.673076923,31.23081958,38.42228469,57
935,Victoria,2000,1,All housing types,202000,46000,6.673076923,34.41872849,38.89023417,563
935,Victoria,2000,1,Condos,131000,46000,6.673076923,22.32105659,25.16453563,138
935,Victoria,2000,1,Single-detached,224000,46000,6.673076923,38.16730288,48.24432339,373
935,Victoria,2000,1,Townhouses,183055,46000,6.673076923,31.19069477,34.92562688,52
950,Williams Lake,2000,1,All housing types,131000,39780,6.673076923,25.81117655,21.01542762,14
950,Williams Lake,2000,1,Single-detached,131000,39780,6.673076923,25.81117655,22.05009043,12
932,Abbotsford - Mission,2000,2,All housing types,179383.6364,40110,7.269230769,36.99354599,39.8580484,339
932,Abbotsford - Mission,2000,2,Condos,87422.46154,40110,7.269230769,18.02877295,20.09532322,40
932,Abbotsford - Mission,2000,2,Single-detached,192960.7843,40110,7.269230769,39.7935051,49.93104757,257
932,Abbotsford - Mission,2000,2,Townhouses,157472.2727,40110,7.269230769,32.47485602,32.71122748,42
944,Campbell River,2000,2,All housing types,139400.6944,44950,7.269230769,25.65257948,28.83969156,83
944,Campbell River,2000,2,Single-detached,143676.4322,44950,7.269230769,26.4394027,31.14048371,72
930,Chilliwack,2000,2,All housing types,156204.7772,38830,7.269230769,33.27535688,35.74923238,198
930,Chilliwack,2000,2,Single-detached,162407.7992,38830,7.269230769,34.59674905,42.84775906,161
930,Chilliwack,2000,2,Townhouses,118903.3333,38830,7.269230769,25.32925639,29.51804433,28
943,Courtenay,2000,2,All housing types,137393.018,39580,7.269230769,28.71340352,33.29529423,145
943,Courtenay,2000,2,Single-detached,141815.2174,39580,7.269230769,29.63758728,37.46374731,124
943,Courtenay,2000,2,Townhouses,102470,39580,7.269230769,21.41493434,25.7004721,18
905,Cranbrook,2000,2,All housing types,119092.8571,42240,7.269230769,23.32156045,23.32692088,54
905,Cranbrook,2000,2,Single-detached,117946.1538,42240,7.269230769,23.09700533,24.79879355,51
975,Dawson Creek,2000,2,All housing types,91836.95652,42710,7.269230769,17.78622214,17.42873376,31
975,Dawson Creek,2000,2,Single-detached,91844.44444,42710,7.269230769,17.78767234,17.4035768,31
937,Duncan,2000,2,All housing types,146558.5938,39000,7.269230769,31.08439957,33.65613231,74
937,Duncan,2000,2,Single-detached,152540.404,39000,7.269230769,32.35311386,37.87860121,58
937,Duncan,2000,2,Townhouses,118600,39000,7.269230769,25.15451121,27.87876391,11
977,Fort St. John,2000,2,All housing types,131830.6818,48790,7.269230769,22.35020345,19.8313746,52
977,Fort St. John,2000,2,Single-detached,132882.3906,48790,7.269230769,22.52850721,21.34312718,46
925,Kamloops,2000,2,All housing types,143930.4348,43280,7.269230769,27.50813747,29.18144185,214
925,Kamloops,2000,2,Condos,93170.8,43280,7.269230769,17.80690219,18.56500138,18
925,Kamloops,2000,2,Single-detached,148163.6364,43280,7.269230769,28.31719144,32.08712104,174
925,Kamloops,2000,2,Townhouses,131500,43280,7.269230769,25.13241958,25.397242,22
915,Kelowna,2000,2,All housing types,165478.2637,40030,7.269230769,34.1940991,38.09482147,493
915,Kelowna,2000,2,Condos,109675.4717,40030,7.269230769,22.66312121,24.28880262,68
915,Kelowna,2000,2,Single-detached,177357.2711,40030,7.269230769,36.64875355,44.76537722,357
915,Kelowna,2000,2,Townhouses,141438.835,40030,7.269230769,29.22663938,32.85366574,68
938,Nanaimo,2000,2,All housing types,148252.0349,39590,7.269230769,30.97497483,33.9915153,226
938,Nanaimo,2000,2,Condos,108633.3333,39590,7.269230769,22.69725855,21.40189008,10
938,Nanaimo,2000,2,Single-detached,153336.5324,39590,7.269230769,32.03730212,37.66249954,190
938,Nanaimo,2000,2,Townhouses,106958.3056,39590,7.269230769,22.34728734,27.46191196,26
